runtime, mean, median, std, 2%, 5%, 10%, 25%, 50%, 75%, 90%, 95%, 98%
9000,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
9100,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
9200,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
9300,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
9400,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
9500,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
9600,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
9700,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
9800,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
9900,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
10000,-0.7432101171874999,-0.7490657734375,0.016705110765556534,-0.7598926675000001,-0.7598798171875001,-0.7598584,-0.7574574257812499,-0.7490657734375,-0.73432109765625,-0.722400909375,-0.7148659546875001,-0.7103449818750002
